store|cash_machine|business_date|item|quantity|unit_prince|line_amount|tran_seq_no|line_seq_no
1001|1|14/01/2022 09:54:59|90|1|22.00|22.00|296|95
1001|1|14/01/2022 09:54:59|35|2|10.04|20.07|297|95
1001|1|14/01/2022 09:56:03|174|1|3.50|3.50|298|96
1001|1|14/01/2022 09:56:03|20|3|8.61|25.83|299|96
1001|1|14/01/2022 10:00:55|24|1|7.00|7.00|300|97
1001|1|14/01/2022 10:00:55|130|1|9.50|9.50|301|97
1001|1|14/01/2022 10:00:55|120|2|8.92|17.84|302|97
1001|1|14/01/2022 10:00:55|175|1|4.00|4.00|303|97
1001|1|14/01/2022 10:00:55|124|1|8.00|8.00|304|97
1001|1|14/01/2022 10:00:55|121|1|8.00|8.00|305|97
1001|1|14/01/2022 10:00:55|23|2|7.81|15.61|306|97
1001|1|14/01/2022 10:00:55|21|1|7.00|7.00|307|97
1001|1|14/01/2022 10:00:55|140|1|15.00|15.00|308|97
1001|1|14/01/2022 10:01:57|21|1|7.00|7.00|309|98
1001|1|14/01/2022 10:01:57|174|1|3.50|3.50|310|98
1001|1|14/01/2022 10:01:57|20|2|7.81|15.61|311|98
1001|1|14/01/2022 10:06:36|172|1|2.50|2.50|312|103
1001|1|14/01/2022 10:06:36|342|1|45.00|45.00|313|103
1001|1|14/01/2022 10:11:03|230|1|21.00|21.00|314|104
1001|1|14/01/2022 10:11:03|170|1|1.50|1.50|315|104
1001|1|14/01/2022 10:12:43|321|1|32.00|32.00|316|105
1001|1|14/01/2022 10:12:43|310|1|-3.35|-3.35|317|105
1001|1|14/01/2022 10:13:21|170|1|1.50|1.50|318|106
1001|1|14/01/2022 10:13:21|275|1|38.00|38.00|319|106
1001|1|14/01/2022 10:13:55|271|1|38.00|38.00|320|107
1001|1|14/01/2022 10:13:55|170|1|1.50|1.50|321|107
1001|1|14/01/2022 10:14:49|170|1|1.50|1.50|322|108
1001|1|14/01/2022 10:14:49|230|1|21.00|21.00|323|108
1001|1|14/01/2022 10:17:06|170|1|1.50|1.50|324|109
1001|1|14/01/2022 10:17:06|20|1|10.00|10.00|325|109
1001|1|14/01/2022 10:17:54|233|1|21.00|21.00|326|110
1001|1|14/01/2022 10:17:54|171|1|2.00|2.00|327|110
1001|1|14/01/2022 10:26:33|30|1|15.00|15.00|328|111
1001|1|14/01/2022 10:26:56|30|1|9.00|9.00|329|112
1001|1|14/01/2022 10:30:55|190|1|21.00|21.00|330|117
1001|1|14/01/2022 10:30:55|170|1|1.50|1.50|331|117
1001|1|14/01/2022 10:32:14|20|1|10.00|10.00|332|118
1001|1|14/01/2022 10:32:14|310|1|-2.79|-2.79|333|118
1001|1|14/01/2022 10:32:14|33|1|15.00|15.00|334|118
1001|1|14/01/2022 10:32:58|310|1|-2.79|-2.79|335|119
1001|1|14/01/2022 10:32:58|24|1|10.00|10.00|336|119
1001|1|14/01/2022 10:32:58|36|1|15.00|15.00|337|119
1001|1|14/01/2022 10:33:24|170|1|1.50|1.50|338|120
1001|1|14/01/2022 10:33:24|20|1|10.00|10.00|339|120
1001|1|14/01/2022 10:34:02|235|1|21.00|21.00|340|121
1001|1|14/01/2022 10:34:02|170|1|1.50|1.50|341|121
1001|1|14/01/2022 10:36:24|70|1|40.00|40.00|342|122
1001|1|14/01/2022 10:36:48|230|1|21.00|21.00|343|123
1001|1|14/01/2022 10:40:47|170|1|1.50|1.50|344|128
1001|1|14/01/2022 10:40:47|270|1|38.00|38.00|345|128
1001|1|14/01/2022 10:41:32|170|1|1.50|1.50|346|129
1001|1|14/01/2022 10:41:32|230|1|21.00|21.00|347|129
1001|1|14/01/2022 10:43:53|50|1|15.00|15.00|348|130
1001|1|14/01/2022 10:43:53|310|1|-10.59|-10.59|349|130
1001|1|14/01/2022 10:45:52|80|1|40.00|40.00|350|131
1001|1|14/01/2022 10:45:52|177|1|5.00|5.00|351|131
1001|1|14/01/2022 10:45:52|170|1|1.50|1.50|352|131
